image1,image2,name,summery
https://st.hzcdn.com/simgs/93d1221c0e6f1fcf_9-7320,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/4186268161001/8af93098-7318-4fa3-a155-6dad5f02d648/main/300x300/17s269ms/match/image.jpg,"INK+IVY Nola Dining Chairs, Set of 2","chair set,dining chair,dining chairs,dining chairs set of 2,dinning chairs,kitchen chair,kitchen chairs,kitchen chairs set of 2,kitchen furniture,mesas de comedor,sillas de comedor,sillas para comedor,wood chair,wood dining chair,wooden chair"
https://st.hzcdn.com/simgs/8c31a0090bfcf033_9-7866,https://st.hzcdn.com/simgs/3f51bce80bfcf035_9-7866,"Offex Living Room Upholstered Leather Arm Chair, Black","accent chair,arm accent chair,chair,leather chair,upholstered chair"
https://st.hzcdn.com/simgs/6541f40a09c29dfa_9-7146,https://st.hzcdn.com/simgs/a2f16cc209960f77_9-7146,"Capri Velvet Dining Chair, Set of 2, Black","beige dining room chairs,dining room chairs,dining room furniture,set of dining room chairs,stainless steel,traditional,transitional,transitional dining room chairs,velvet,velvet dining chairs"
https://st.hzcdn.com/simgs/070171370d8264c9_9-0171,https://st.hzcdn.com/simgs/298149ec0d8264ca_9-6882,Lia Mid-Century Barrel Accent Chair Evergreen,"accent,accent chair,Arm Chair Unique,Bedroom,Chic,contemporary,den,design,Elegance,Exterior,exterior design,furnishing,furniture,high arms,Home,home furnishing,interior,Interior Design,living room,living space,modern,office,pink,room decor,solid,solid wood,wood,wood legs"
https://st.hzcdn.com/simgs/e6c169e00dd70763_9-9575,https://st.hzcdn.com/simgs/3181a4ea0dd70769_9-2879,"Porsha Dining Chair, Set of 2, Navy Velvet, Gold Legs","channel tufted design on back,comfortable,contemporary,dining chair,gold,luxurious,luxurious navy velvet,meridian furniture,modern,navy,nice,porsha,porsha navy velvet dining chair,rich gold metal legs,set of 2,sturdy,velvet"
https://st.hzcdn.com/simgs/81815ac30c6ca092_9-2596,https://st.hzcdn.com/simgs/5be14bd30c6ca094_9-2596,"Tripod Plywood Modern Lounge Chair, Genuine Italian Leather, Wihte, Walnut","hangs� chair,modern plywood chair,plywood chair,shell chair,shell� chair"
https://st.hzcdn.com/simgs/5d111a0e0f7486ee_9-2604,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/4186268161001/a483c272-ed40-40ac-bda5-3364a5a3307d/main/300x300/10s698ms/match/image.jpg,"Kenneth Mid Century Modern Arm Chair, Heather Gray","accent chair,armchair,birch,living room,midcentury,modern,seat,seating,seats,tapered legs,tufted,upholstered"
https://st.hzcdn.com/simgs/86617419083dedeb_9-6322,https://st.hzcdn.com/simgs/7721c809083de5d6_9-7558,"Patara Chair, Chrome Base, Silver Camira Wool",
https://st.hzcdn.com/simgs/d281b4470c367426_9-1388,https://st.hzcdn.com/simgs/0661b4ee0c367425_9-1388,Beige Engage Upholstered Fabric Armchair,"affordable,chair,chair weight capacity - 440 lbs.,cherry color rubberwood,Dining,free shipping,furniture,Home,home d�cor,Home Interior,indoor,modern furniture,Outdoor,polyester blend fabric,sofa,white plastic glides"
https://st.hzcdn.com/simgs/edc142960bfd9d21_9-7309,https://st.hzcdn.com/simgs/4dd1924e0e58d4c4_9-7309,"INK+IVY Oliver Dining Side Chairs, Set of 2","accent chairs,chairs for dining room,dining chairs,dining chairs set,dining furniture,dining room chairs,dinner chairs set,kitchen accent furniture,kitchen chair set,kitchen chairs,kitchen room chairs,kitchen stool,side chairs,upholstered dining chairs"
https://st.hzcdn.com/simgs/64d1e2330e0f6892_9-4930,https://st.hzcdn.com/simgs/9811d9920e01e648_9-4930,Modrest Frasier - Modern Grey Eco-Leather Dining Chair (Set of 2 ),"black powder coated metal,dining chair,dining chairs,eco-leather,grey,metal,set,set of 2,washed grey"
https://st.hzcdn.com/simgs/f151382b0c129584_9-4301,https://st.hzcdn.com/simgs/1b4111380c129585_9-1803,"Picket House Furnishings Regal Accent Chair, Light Blue","accent chair,light blue accent chair,picket house furnishings,regal,regal accent chair"
https://st.hzcdn.com/simgs/6001af650c82ea36_9-5784,https://st.hzcdn.com/simgs/b9a1a6950c82ea37_9-5784,"Fabric Upholstered Accent Chair,, Brown and Black",
